apps/egd_site/egd_site/tools.py,registration:email:body:thank_you,registration:email:body:thank_you
apps/egd_site/egd_site/tools.py,registration:email:body:verify_your_email,Thank you for your interest in the International Effective Giving Day! <strong>Please confirm your email address to complete your registration</strong>:
apps/egd_site/egd_site/tools.py,registration:email:subject,Please confirm your email address to complete your registration
apps/egd_site/egd_site/templates/includes/section-about.html,section:about:intro,International Effective Giving Day is an online event giving you the chance to hear from some of the world's most eminent thinkers in effective philanthropy.
apps/egd_site/egd_site/templates/includes/section-about.html,section:about:list:1,Keynote address: Nobel Laureate Professor Michael Kremer
apps/egd_site/egd_site/templates/includes/section-about.html,section:about:list:2,Supported by the world’s leading organizations in effective philanthropy and charity evaluation
apps/egd_site/egd_site/templates/includes/section-about.html,section:about:list:3,"Also featuring: Johannes Ackva (Climate Lead Founders Pledge), Leah Edgerton (Executive Director Animal Charity Evaluators), Neil Buddy Shah (Managing Director, GiveWell)"
apps/egd_site/egd_site/templates/includes/section-about.html,section:about:list:4,section:about:list:4
apps/egd_site/egd_site/templates/includes/section-about.html,section:about:title,About the event
apps/egd_site/egd_site/templates/includes/section-agenda.html,section:agenda:intro,"Join us on November 30, 2020 for two hours packed with the latest information on the most effective ways to tackle some of the world’s most pressing problems."
apps/egd_site/egd_site/templates/includes/section-agenda.html,section:agenda:title,Agenda
apps/egd_site/egd_site/templates/includes/section-partners.html,section:partners:organized_by,Organized by
apps/egd_site/egd_site/templates/includes/section-partners.html,section:partners:supported_by,With the support of
apps/egd_site/egd_site/templates/includes/section-speakers.html,section:speakers:intro,section:speakers:intro
apps/egd_site/egd_site/templates/includes/section-speakers.html,section:speakers:see_all_speakers,See all speakers
apps/egd_site/egd_site/templates/includes/section-speakers.html,section:speakers:title,Speakers
apps/egd_site/egd_site/templates/includes/section-why.html,section:why:1:title,Can non-profits make a dent on the world’s biggest problems?
apps/egd_site/egd_site/templates/includes/section-why.html,section:why:2:title,Are all charities just as good? How can we compare one against another?
apps/egd_site/egd_site/templates/includes/section-why.html,section:why:3:title,I want to give - but how can I decide which charities to support?
apps/egd_site/egd_site/templates/includes/section-why.html,section:why:4:title,How can I be sure that my money will have real impact?
apps/egd_site/egd_site/templates/includes/section-why.html,section:why:intro,Have you ever wondered how much you can actually improve the world through charitable giving? Our speakers will shed light on the key questions you have to answer if you care about having an impact:
apps/egd_site/egd_site/templates/includes/section-why.html,section:why:title,Why you should attend
