
apps/egd_site/egd_site/templates/includes/footer.html,Enter your email here,Introduce tu email
apps/egd_site/egd_site/templates/includes/footer.html,Subscribe,Subscribirse
apps/egd_site/egd_site/templates/includes/footer.html,Stay up to date,Mantente informado
apps/egd_site/egd_site/templates/includes/footer.html,Legal,Condiciones
apps/egd_site/egd_site/templates/includes/footer.html,Privacy,Privacidad

apps/egd_site/egd_site/templates/includes/header.html,Agenda,Agenda
apps/egd_site/egd_site/templates/includes/header.html,Speakers,Ponentes
apps/egd_site/egd_site/templates/includes/header.html,Press,Prensa
apps/egd_site/egd_site/templates/includes/header.html,Register,Registro
apps/egd_site/egd_site/templates/includes/header.html,Contact,Contacto
apps/egd_site/egd_site/templates/includes/header.html,EFFECTIVE GIVING DAY,DÍA DE LA DONACIÓN EFECTIVA
apps/egd_site/egd_site/templates/includes/header.html,REGISTER NOW,REGÍSTRATE AHORA

apps/egd_site/egd_site/public/js/web.js,Please check your email,Por favor revisa tu email
apps/egd_site/egd_site/public/js/web.js,Something went wrong,Algo ha ido mal
apps/egd_site/egd_site/public/js/web.js,Error with subscription,Error en la suscripción
apps/egd_site/egd_site/public/js/web.js,Subscribing...,Suscribiéndote...

apps/egd_site/egd_site/tools.py,Thank you for subscribing to our updates.,Muchas gracias por suscribirte a nuestras actualizaciones
apps/egd_site/egd_site/tools.py,Please verify your email address:,Por favor verifica tu email:
apps/egd_site/egd_site/tools.py,Click here to verify, Haz click aquí para verificarlo
apps/egd_site/egd_site/tools.py,Confirm your email,Confirma tu email
